time,cumulative 1-week rainfall (mm)
2013-12-01,2.112732
2013-12-08,16.679382
2013-12-15,7.0650024
2013-12-22,13.31488
2013-12-29,17.837646
2014-01-05,6.3637695
2014-01-05,8.296875
2014-01-12,1.234436
2014-01-19,10.321167
2014-01-26,10.365906
2014-02-02,11.450012
2014-02-02,0.47802734
2014-02-09,1.94104
2014-02-16,2.37146
2014-02-23,9.249268
2014-03-02,13.06781
2014-03-02,2.3686523
2014-03-09,15.02124
2014-03-16,14.366394
2014-03-23,12.324036
2014-03-30,7.3201294
2014-04-06,0.44976807
2014-04-06,6.364868
2014-04-13,7.028076
2014-04-20,1.6452637
2014-04-27,2.954712
2014-05-04,0.074645996
2014-05-04,0.0
2014-05-11,0.0060424805
2014-05-18,0.0
2014-05-25,0.0016479492
2014-06-01,0.0
2014-06-01,0.0
2014-06-08,0.0
2014-06-15,0.0
2014-06-22,0.0
2014-06-29,0.00012207031
2014-07-06,0.0
2014-07-06,0.0
2014-07-13,0.0
2014-07-20,0.0
2014-07-27,0.0
2014-08-03,0.00024414062
2014-08-03,0.0
2014-08-10,0.0
2014-08-17,0.0
2014-08-24,0.0
2014-08-31,0.0
2014-09-07,0.0
2014-09-14,0.03778076
2014-09-21,0.10491943
2014-09-28,0.025512695
2014-10-05,0.055908203
2014-10-05,0.121032715
2014-10-12,0.8048096
2014-10-19,0.59680176
2014-10-26,0.09680176
2014-11-02,2.2231445
2014-11-02,1.6442871
2014-11-09,12.14093
2014-11-16,12.4557495
2014-11-23,6.034729
2014-11-30,9.78656
2014-12-07,11.794067
2014-12-14,13.442505
2014-12-21,4.9241943
2014-12-28,7.6414795
2015-01-04,0.20336914
2015-01-04,0.5596924
2015-01-11,3.5216675
2015-01-18,12.074829
2015-01-25,11.719788
2015-02-01,13.623108
2015-02-01,4.5771484
2015-02-08,2.9598389
2015-02-15,3.6616821
2015-02-22,2.8496094
2015-03-01,5.657898
2015-03-01,0.63067627
2015-03-08,4.6349487
2015-03-15,0.8441162
2015-03-22,2.4053345
2015-03-29,12.280701
2015-04-05,4.005066
2015-04-05,3.6740723
2015-04-12,2.347046
2015-04-19,0.50842285
2015-04-26,0.7253418
2015-05-03,0.0
2015-05-03,0.0
2015-05-10,0.00036621094
2015-05-17,0.0
2015-05-24,0.0
2015-05-31,0.0
2015-06-07,0.0
2015-06-14,0.0
2015-06-21,0.0
2015-06-28,0.0
2015-07-05,0.0
2015-07-05,0.0
2015-07-12,0.0
2015-07-19,0.0
2015-07-26,0.0
2015-08-02,0.0
2015-08-02,0.0
2015-08-09,0.0
2015-08-16,0.0
2015-08-23,0.0
2015-08-30,0.00061035156
2015-09-06,0.0
2015-09-06,0.010070801
2015-09-13,0.013549805
2015-09-20,0.018310547
2015-09-27,0.088378906
2015-10-04,0.33129883
2015-10-04,2.2929077
2015-10-11,0.24957275
2015-10-18,1.1917114
2015-10-25,0.97320557
2015-11-01,0.98431396
2015-11-01,0.638855
2015-11-08,3.1663818
2015-11-15,1.1130981
2015-11-22,2.1766357
2015-11-29,2.31781
2015-12-06,0.8588257
2015-12-06,8.367615
2015-12-13,10.66626
2015-12-20,4.4848022
2015-12-27,12.42218
2016-01-03,10.360291
2016-01-03,3.6776733
2016-01-10,9.128174
2016-01-17,10.477478
2016-01-24,12.736633
2016-01-31,6.9122314
2016-02-07,12.851868
2016-02-14,6.473816
2016-02-21,9.41272
2016-02-28,10.439514
2016-03-06,2.2018433
2016-03-06,12.53363
2016-03-13,15.977539
2016-03-20,15.005737
2016-03-27,1.3001709
2016-04-03,2.4666138
2016-04-03,1.0581055
2016-04-10,3.1021729
2016-04-17,0.07348633
2016-04-24,0.48059082
2016-05-01,0.0059814453
2016-05-01,0.008117676
2016-05-08,0.0025634766
2016-05-15,0.0
2016-05-22,0.0
2016-05-29,0.0
2016-06-05,0.0
2016-06-05,0.0
2016-06-12,0.0
2016-06-19,0.0
2016-06-26,0.0
2016-07-03,0.0
2016-07-03,0.00024414062
2016-07-10,0.0
2016-07-17,0.0
2016-07-24,0.0
2016-07-31,0.0
2016-08-07,0.0
2016-08-14,0.0
2016-08-21,0.0
2016-08-28,0.0
2016-09-04,0.0
2016-09-04,0.0
2016-09-11,0.0
2016-09-18,0.024902344
2016-09-25,0.0004272461
2016-10-02,0.009277344
2016-10-02,0.033203125
2016-10-09,0.7993164
2016-10-16,0.32666016
2016-10-23,0.20574951
2016-10-30,1.2781982
2016-11-06,0.0803833
2016-11-06,4.3345947
2016-11-13,6.2992554
2016-11-20,4.6481934
2016-11-27,8.321655
2016-12-04,2.6345215
2016-12-04,2.5166626
2016-12-11,9.622437
2016-12-18,13.96875
2016-12-25,13.149292
2017-01-01,11.65564
2017-01-01,2.27771
2017-01-08,10.335144
2017-01-15,3.006958
2017-01-22,15.006775
2017-01-29,12.247803
2017-02-05,0.045043945
2017-02-05,3.3928223
2017-02-12,10.419861
2017-02-19,15.485474
2017-02-26,4.9610596
2017-03-05,6.875305
2017-03-05,5.9038086
2017-03-12,13.403442
2017-03-19,5.8554077
2017-03-26,4.972412
2017-04-02,3.0861816
2017-04-02,0.07727051
2017-04-09,2.5947876
2017-04-16,1.3082275
2017-04-23,3.4657593
2017-04-30,0.43103027
2017-05-07,0.033081055
2017-05-14,0.014953613
2017-05-21,0.0
2017-05-28,0.0018310547
2017-06-04,0.0031738281
2017-06-04,0.0
2017-06-11,0.0
2017-06-18,0.0
2017-06-25,0.0
2017-07-02,0.0
2017-07-02,0.0
2017-07-09,0.0005493164
2017-07-16,0.0
2017-07-23,0.0
2017-07-30,0.0
2017-08-06,0.0
2017-08-06,0.0
2017-08-13,0.0
2017-08-20,0.0
2017-08-27,0.0
2017-09-03,0.0
2017-09-03,0.00018310547
2017-09-10,0.0006713867
2017-09-17,0.0004272461
2017-09-24,0.0
2017-10-01,0.5227051
2017-10-01,0.1237793
2017-10-08,1.6870728
2017-10-15,0.6956177
2017-10-22,0.54888916
2017-10-29,4.469116
2017-11-05,1.9976196
2017-11-05,4.595276
2017-11-12,1.6739502
2017-11-19,2.4002075
2017-11-26,6.2701416
2017-12-03,2.2363281
2017-12-03,2.0405884
2017-12-10,12.439575
2017-12-17,8.753296
2017-12-24,18.601685
2017-12-31,15.785034
2018-01-07,3.409668
2018-01-14,4.824524
2018-01-21,7.493347
2018-01-28,13.837158
2018-02-04,7.996216
2018-02-04,8.4331665
2018-02-11,12.439209
2018-02-18,8.821228
2018-02-25,10.396973
2018-03-04,0.8227539
2018-03-04,16.976074
2018-03-11,2.2402954
2018-03-18,11.364136
2018-03-25,12.885925
2018-04-01,10.144165
2018-04-01,1.5891113
2018-04-08,13.151794
2018-04-15,6.48645
2018-04-22,1.9442749
2018-04-29,0.0057373047
2018-05-06,6.1035156e-05
2018-05-06,0.06347656
2018-05-13,0.04248047
2018-05-20,0.02557373
2018-05-27,0.014221191
2018-06-03,6.1035156e-05
2018-06-03,0.0
2018-06-10,0.0
2018-06-17,0.0
2018-06-24,0.0
2018-07-01,0.0
2018-07-01,0.0
2018-07-08,0.0025634766
2018-07-15,0.0005493164
2018-07-22,0.0
2018-07-29,0.0
2018-08-05,0.0
2018-08-05,0.00091552734
2018-08-12,0.0
2018-08-19,0.0
2018-08-26,0.0025024414
2018-09-02,0.0
2018-09-02,0.0
2018-09-09,0.09765625
2018-09-16,0.0007324219
2018-09-23,0.00030517578
2018-09-30,0.40618896
2018-10-07,0.022338867
2018-10-14,0.0012207031
2018-10-21,0.88494873
2018-10-28,6.255066
2018-11-04,0.15856934
2018-11-04,1.3765869
2018-11-11,2.9765625
2018-11-18,0.12854004
2018-11-25,6.2337036
2018-12-02,6.8586426
2018-12-02,0.8595581
2018-12-09,3.4492798
2018-12-16,1.3242798
2018-12-23,4.9920654
2018-12-30,13.059937
2019-01-06,4.6673584
2019-01-06,16.793274
2019-01-13,4.682068
2019-01-20,11.884766
2019-01-27,4.8623657
2019-02-03,6.381653
2019-02-03,3.703186
2019-02-10,13.692139
2019-02-17,6.6932983
2019-02-24,1.2497559
2019-03-03,1.9863281
2019-03-03,1.9580078
2019-03-10,6.2695923
2019-03-17,5.0720215
2019-03-24,0.70477295
2019-03-31,0.95098877
2019-04-07,2.133728
2019-04-14,4.5792847
2019-04-21,3.0269775
2019-04-28,2.1948853
2019-05-05,0.0
2019-05-05,0.0021972656
2019-05-12,0.0008544922
2019-05-19,0.0067749023
2019-05-26,0.008483887
2019-06-02,0.0
2019-06-02,0.0
2019-06-09,0.0
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,0.0
2019-07-21,0.0
2019-07-28,0.0
2019-08-04,0.0
2019-08-04,0.0
2019-08-11,0.004272461
2019-08-18,0.0
2019-08-25,0.0
2019-09-01,6.1035156e-05
2019-09-01,6.1035156e-05
2019-09-08,0.0
2019-09-15,0.0
2019-09-22,0.0032348633
2019-09-29,0.005493164
2019-10-06,0.0
2019-10-06,0.15631104
2019-10-13,3.5367432
2019-10-20,1.52594
2019-10-27,0.8890381
2019-11-03,1.5498657
2019-11-03,0.77612305
2019-11-10,5.125122
2019-11-17,4.1970825
2019-11-24,0.7183838
2019-12-01,5.9259644
2019-12-01,2.211792
2019-12-08,16.029236
2019-12-15,1.2470703
2019-12-22,9.5633545
2019-12-29,10.956604
2020-01-05,5.061157
2020-01-05,13.792969
2020-01-12,17.9375
2020-01-19,10.115662
2020-01-26,8.167969
2020-02-02,10.3220825
2020-02-02,5.1574707
2020-02-09,15.564819
2020-02-16,12.806885
2020-02-23,13.6866455
2020-03-01,16.045837
2020-03-01,0.059570312
2020-03-08,2.0742188
2020-03-15,8.5896
2020-03-22,14.479431
2020-03-29,17.641785
2020-04-05,2.623108
2020-04-05,7.2771606
2020-04-12,3.18396
2020-04-19,1.1784668
2020-04-26,0.02142334
2020-05-03,0.0
2020-05-03,0.00024414062
2020-05-10,0.001953125
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-05,0.0
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,0.00024414062
2020-08-30,0.30517578
2020-09-06,0.14904785
2020-09-06,0.11315918
2020-09-13,0.0
2020-09-20,0.062683105
2020-09-27,0.00061035156
2020-10-04,0.064208984
2020-10-04,0.7687378
2020-10-11,0.015808105
2020-10-18,1.531189
2020-10-25,0.054382324
2020-11-01,2.0568237
2020-11-01,0.037109375
2020-11-08,1.2960205
2020-11-15,11.237122
2020-11-22,14.591187
2020-11-29,10.601013
2020-12-06,2.1281128
2020-12-06,1.7208252
2020-12-13,1.6501465
2020-12-20,3.3214111
2020-12-27,10.842346
2021-01-03,14.521118
2021-01-03,5.6605225
2021-01-10,8.927246
2021-01-17,5.187134
2021-01-24,6.414734
2021-01-31,18.523438
2021-02-07,7.711914
2021-02-14,6.98407
2021-02-21,13.929932
2021-02-28,10.970581
2021-03-07,1.0239258
2021-03-14,2.2997437
2021-03-21,16.641907
2021-03-28,15.097168
2021-04-04,4.8148804
2021-04-04,2.6435547
2021-04-11,0.04827881
2021-04-18,0.34942627
2021-04-25,0.026245117
2021-05-02,0.8267822
2021-05-02,1.9121704
2021-05-09,1.2980957
2021-05-16,0.0
2021-05-23,0.0
2021-05-30,0.0
2021-06-06,0.0
